"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","BCL2","BCL2.1","IL1R2","GATA3","GATA3.1","IL10","BCL2.2","BCL2.3","MAPK14.1","MAPK14.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","MAPK14.4","HIF1A.7","GATA3.2","MAPK14.5","Label"
"GSM1691864",9.364271709,9.682344344,5.363821757,6.782704154,2.805233601,8.216448686,4.010501996,9.096380708,2.539956551,2.93232205,10.40742502,4.252489637,2.34777967,2.202704373,2.690229276,2.870949406,7.156288191,6.826627056,3.811028599,4.384656177,6.249937673,5.716979244,8.026218417,7.205454321,6.948980193,5.867272894,7.08855116,2.699964397,9.195692633,"Sepsis"
"GSM1691865",10.50105251,9.652677712,5.721497468,6.925968551,2.660062071,7.897357079,4.465789671,9.230689782,3.242889949,3.062503357,12.15249729,4.604050755,2.428475269,3.021261832,2.379578794,2.355824627,8.114125376,8.164585581,4.142312859,4.79868979,6.414148131,6.070813291,9.333368751,7.288397867,7.007687705,7.789457187,7.001239501,3.034787992,9.794772504,"Sepsis"
"GSM1691866",9.92915648,8.936753042,4.727159263,6.259776803,2.987841652,8.195752964,4.557612722,8.905691498,2.919192767,2.460505838,10.43432504,4.361845065,2.481759213,2.681958462,2.932867461,2.913269771,7.126865488,7.154574823,4.298319526,5.353599023,5.630638493,5.364317564,8.252315303,6.516685403,6.528234689,6.340664851,6.639947916,2.749939851,9.078026351,"Sepsis"
"GSM1691867",9.097289303,8.862156665,4.027567524,5.421949147,2.440468256,5.421085632,3.458849362,8.570909324,2.86222479,2.980584983,10.93769433,3.735803781,2.227761642,2.439163624,2.523612193,3.035092536,6.18705151,5.641764319,3.40585767,4.504372167,4.456475548,5.071275088,6.640539066,6.117646586,6.156204148,5.231424705,6.238069024,2.496337778,8.165619894,"Sepsis"
"GSM1691868",9.04018671,8.699915579,4.099656482,5.171640233,2.439514337,3.295649861,3.620959665,8.581600597,3.085452292,2.979608626,10.65125376,4.916695267,2.710614025,2.215091658,3.030093247,3.336608264,6.485469818,6.226114528,3.596820666,4.890298442,4.198088447,4.667836145,7.492839804,5.832101838,6.183899367,5.370169678,5.960388802,3.076065594,8.471119156,"Sepsis"
"GSM1691874",10.22378096,10.17132614,6.974572936,8.231763274,2.720061556,7.190401394,5.105278853,9.426167599,2.635211728,2.332230891,11.61063157,4.099250909,1.874690552,2.299480352,2.791057403,2.416040893,7.053864142,8.276006432,5.774486296,6.139233791,7.793433578,7.255573485,9.20897442,8.262574294,8.435209217,7.773437942,8.262030621,2.537997821,9.489589212,"Sepsis"
"GSM1691882",11.03896002,10.36877553,7.452616875,8.534992372,4.263939417,8.684881936,5.923312797,9.340723259,2.715731529,3.152918911,11.68297035,4.16193356,2.765718635,2.874997245,2.020189719,2.050667555,7.572380468,8.629473771,5.866164894,6.282055432,8.098977615,7.846037059,9.39440962,8.710600757,8.801696302,8.228366185,8.593215869,2.145592722,10.18955093,"Sepsis"
"GSM1691893",7.572351906,7.80230193,3.744451671,4.179293273,2.525440687,2.871905639,2.638540999,7.149592372,2.970048632,2.713031701,10.34868493,4.347550168,2.726690118,2.507327376,3.079991437,2.786235954,4.668804115,5.318269154,2.268393992,3.366789079,4.034453326,4.04729573,6.820382392,4.979254544,5.532788295,4.529918825,5.461139989,2.668212571,6.632450996,"Sepsis"
"GSM1691895",10.04322366,9.185765487,4.901453748,6.272548888,3.122931284,7.545119304,3.966712684,9.334502013,3.106829985,3.135335232,9.330094644,5.023982143,2.293414513,2.833749662,2.74118297,2.702950903,8.118996278,8.105577505,4.061744435,4.456681808,5.769296281,5.850434953,9.071646786,6.962175077,6.910068933,7.21801527,6.686396738,2.460270588,9.722993126,"Sepsis"
"GSM1691896",9.724048837,8.281377182,3.491778103,4.100214187,2.83079863,7.76729864,3.36951291,9.005392687,3.204030029,2.930873637,11.43535766,4.31597301,2.288387595,2.258505061,2.74562758,2.837662662,7.919751135,7.01728386,3.289066066,4.897125656,3.499520337,3.953116056,8.203923533,5.151859864,5.290541708,6.165629428,4.923013913,3.086633892,9.548159302,"Sepsis"
"GSM1691900",8.916830147,9.166257652,4.36045153,5.109877462,2.564745356,3.777088768,3.29116691,9.51014582,2.861594308,2.875224198,10.80926162,4.558493131,2.453831662,2.519362144,2.840195043,2.388075162,8.022051093,7.073524834,2.412094741,3.982731312,4.186898552,4.566743039,8.386768232,5.900256103,6.248214145,6.385995427,5.913717246,3.34530413,8.941845571,"Sepsis"
"GSM1691911",9.563468868,9.082165797,4.433899599,5.824675071,2.483721349,6.754776458,3.893986437,9.383849544,2.946754847,3.147139643,11.15172234,4.005996287,2.444315271,3.130597069,2.601168202,2.795191998,7.143280606,6.668478168,3.584462564,4.962796127,4.724813624,5.20749755,8.043520111,6.342804409,6.56213714,5.919781137,6.351313352,2.668555188,9.512030412,"Sepsis"
