"Sample","S100A12","HMGB1","HMGB1.1","HMGB1.2","S100A8","HMGB1.3","HMGB1.4","HMGB1.5","HMGB1.6","Label"
"GSM1692266",12.00410787,3.666738216,4.002094012,6.873922053,12.68337782,6.151573793,7.20939228,6.086244533,2.660807651,"Sepsis"
"GSM1692268",12.45315591,3.845052876,5.354542557,7.784582718,12.99701939,7.219786214,7.931792747,7.321701345,3.697742115,"Sepsis"
"GSM1692272",10.43262398,5.98930872,7.686834122,8.73569797,13.00999613,8.975612946,8.896185711,8.712148205,3.349505619,"Sepsis"
"GSM1692311",11.76520265,4.49953094,5.193645951,8.159779634,12.6967291,6.99432638,7.979466686,7.010256104,3.0774199,"Sepsis"
"GSM1692326",11.85237861,4.267191252,6.379560884,8.208868543,12.94488662,7.772490091,8.389952874,7.912066445,3.000399356,"Sepsis"
"GSM1692334",10.80042765,5.172579582,6.141190856,7.307685332,12.4849355,7.58633016,7.528452031,7.554707266,3.623600873,"Sepsis"
"GSM1692335",12.29100229,3.492899579,6.410083378,7.564877831,13.15021618,8.167997535,7.894873886,8.115004513,2.441111824,"Sepsis"
"GSM1692352",11.71567497,3.616147612,6.22848389,8.620356938,12.60833509,7.756474312,8.737377536,7.669107801,2.87257148,"Sepsis"
"GSM1692366",11.74101402,3.434773332,4.805096121,8.801359725,12.96169271,6.553411154,8.244084424,6.805169339,2.760277171,"Sepsis"
"GSM1692383",12.58550063,4.132969244,6.309757148,7.597644919,13.20983551,7.741735995,8.050117527,7.779023983,3.384635861,"Sepsis"
"GSM1692386",12.59563368,5.323353685,6.650757997,8.442919887,13.16634655,7.7831253,8.116630423,7.883406843,3.326694363,"Sepsis"
"GSM1692387",12.42296098,5.605349429,7.303897749,8.05987152,13.06886759,8.350519518,8.273294142,8.398385479,2.719403115,"Sepsis"
"GSM1692392",12.31321064,4.70180706,5.421111552,7.847314013,13.10309618,7.42306355,7.91094969,7.323452166,2.556716197,"Sepsis"
"GSM1692399",11.27194246,4.697638246,6.014209738,7.545586874,12.83375275,7.698864017,7.70175338,7.539493559,2.913339835,"Sepsis"
"GSM1692410",11.5637814,3.574215589,4.584446089,7.375900528,12.78561375,6.940227813,7.815902044,6.962710599,3.158144477,"Sepsis"
