"Sample","C3AR1","CD177","CD177.1","ITGAM","ITGAM.1","ITGAM.2","FCGR1A","FCGR1A.1","ARG1","FCGR1A.2","FCGR1A.3","Label"
"GSM1602820",8.719470846,6.729314106,7.410737506,7.937526746,9.479419313,6.928153608,9.329161822,3.852282117,6.774315085,2.608956028,2.697018724,"Sepsis"
"GSM1602823",9.670681896,9.364970016,10.50929559,8.270608547,9.725213235,7.687454329,9.287373228,3.946952104,8.893827086,2.584766532,2.541542891,"Sepsis"
"GSM1602824",8.73249528,6.886434073,8.632330275,8.314459196,9.716891952,6.746793634,8.163410167,3.510812524,9.280186749,2.505817072,2.733768809,"Sepsis"
"GSM1602825",9.769352143,5.583221088,7.574284977,8.029287942,9.660215495,6.61434155,8.22305921,3.099558083,9.440539132,2.318908077,2.437888612,"Sepsis"
"GSM1602826",7.992009488,10.51920734,11.28826526,8.914772732,10.40186496,7.933200339,9.880287414,5.45478675,9.769802959,2.898598349,2.719901187,"Sepsis"
"GSM1602827",9.528019416,6.008782742,7.335954342,8.051629709,9.55943871,6.307100175,8.829670551,4.071888297,8.450917495,2.545073016,2.96604415,"Sepsis"
"GSM1602829",8.9334233,9.370624733,10.89116651,8.978213901,10.54119703,7.577025199,10.15706083,6.328460305,9.34288687,3.903882355,4.143936345,"Sepsis"
"GSM1602830",6.490936111,7.291273271,8.274762563,8.663970352,10.30627728,7.411757661,9.932327412,6.048309501,8.964991833,2.825674201,3.249576384,"Sepsis"
"GSM1602831",9.024695657,9.180268402,10.73863755,9.167764882,10.69542287,8.111245992,9.987498998,5.846656186,9.261494063,3.118166377,2.656309844,"Sepsis"
"GSM1602832",6.999026264,4.91097197,7.50200333,7.67278903,9.418328652,6.426004688,9.221098251,5.97372201,8.165774281,2.8569326,3.131902548,"Sepsis"
"GSM1602833",8.4484509,6.427882716,7.534603639,5.948973166,8.27415793,5.187939907,8.395702473,2.608133963,7.601708192,2.586679915,2.337482841,"Sepsis"
"GSM1602834",8.901384871,9.216412627,10.4438326,8.971178395,10.33255874,7.874137969,9.323451216,5.148231717,10.18199113,2.475134132,2.835663861,"Sepsis"
"GSM1602836",9.869799094,5.586087619,5.405288736,7.622344377,9.407572944,6.348852026,10.25186232,6.311610506,6.514190733,3.959044964,3.050946423,"Sepsis"
"GSM1602837",9.298104163,5.426176409,7.507845348,9.28550298,10.74311034,7.764316646,10.32697662,5.896790956,9.73994467,3.350292946,2.716899706,"Sepsis"
"GSM1602838",9.641229439,5.810724404,7.002744347,7.671907453,9.664876215,7.075439153,9.385862524,5.199307734,8.425305668,3.001824608,2.957534731,"Sepsis"
"GSM1602839",8.763513004,9.602892442,11.2184608,8.524563577,10.11623084,7.228690695,9.131402785,4.789069,10.98870183,3.315091713,2.666036035,"Sepsis"
"GSM1602840",5.888924724,9.864575289,11.15637333,8.522660402,10.22775771,7.336034628,10.52341698,6.981248117,8.463662464,3.711170663,3.093970108,"Sepsis"
"GSM1602841",9.06547213,6.796113107,8.067802231,8.59009375,10.01549604,7.2119984,9.409795178,5.777642815,8.240240301,3.156929999,2.695915856,"Sepsis"
"GSM1602842",9.717555464,9.283002605,9.830436121,8.759403551,10.32019434,7.453503151,9.311146191,5.105953852,9.685565749,2.855322545,2.699880744,"Sepsis"
"GSM1602843",8.520653264,4.407728018,5.272793062,7.399354363,9.238739877,6.395198581,9.358638683,4.720304605,8.277060658,2.704213128,2.544941599,"Sepsis"
"GSM1602844",9.207827342,6.852113056,9.11026496,8.43512551,10.22437727,7.563450234,9.174741528,5.807798833,11.23395668,3.262944985,3.530146495,"Sepsis"
"GSM1602845",6.018687885,9.79211066,10.58062745,8.297631206,10.13858813,6.775206409,9.875284041,6.028315912,8.839374299,3.449638955,2.539365799,"Sepsis"
"GSM1602846",9.241910064,8.231012447,8.542485474,7.868658383,9.735804655,6.491333289,8.273836368,3.380867948,6.909867113,2.465899594,2.469444917,"Sepsis"
"GSM1602847",9.416325478,8.988062566,10.02411749,8.49007513,10.15242446,6.895198462,9.024393809,3.770340748,8.965189743,2.531787556,2.712052121,"Sepsis"
"GSM1602848",9.449289962,4.544677514,6.714890289,7.783149027,9.362115145,6.549692209,9.208754188,5.794472865,8.248759098,2.821487504,3.134530953,"Sepsis"
"GSM1602849",9.706756396,6.723096951,8.570170993,7.734002463,9.658542548,6.455756555,9.230671834,5.061248372,7.720860099,2.650896688,2.924792034,"Sepsis"
"GSM1602850",9.413390536,9.506180749,10.44254579,8.808557406,10.52004952,7.954134914,9.855244642,5.938278384,9.298321401,3.813911112,2.963418635,"Sepsis"
"GSM1602851",7.807738549,7.631473281,8.62606267,6.180893105,8.664012674,6.299293115,9.730850463,4.86818254,5.256364463,2.434627368,2.573378431,"Sepsis"
"GSM1602852",8.511204985,7.552183467,7.931513959,8.204781506,10.07308194,6.979817334,9.250035389,4.338407322,9.17644504,3.104648131,2.814764252,"Sepsis"
"GSM1602853",10.10316175,7.686156219,8.983573652,8.780336033,10.29800298,7.655167187,8.513833502,4.288413426,8.91811571,2.52998295,2.790343608,"Sepsis"
"GSM1602855",10.20591141,9.326793811,9.911891893,8.525415065,10.01338607,7.059144762,10.66157232,6.545025674,8.599444418,3.735148022,4.353149621,"Sepsis"
"GSM1602856",9.666050639,6.1028148,7.404502531,8.444946999,10.0371226,7.52798002,7.523270972,2.705429568,7.764795104,2.639140163,2.489721803,"Sepsis"
"GSM1602857",8.034733378,2.756811653,2.564476584,7.08091456,8.948505537,5.492325359,7.552335195,2.882998346,8.613293721,2.488381006,2.128404577,"Sepsis"
